0,NUMBER,Quest. A1,Quest. A1 bis,A2,A3,A4,A5,A5 bis,A6,A7,A8,A9,B1,B1 bis,B2,B3,B3 bis,B4,B4 bis,B5,B5 bis,C1,C1 bis,C2,C2 bis,C3,C3 bis,C4,COMMENTS(C4)
19,Q19,1,Italy,2,2,8,11,19,1,1,2,1,1.0-2.0-3.0-4.0-6.0-7.0,0,4,2,0,1.0-2.0,0,1.0-2.0,0,6,0,1.0-2.0,0,1,0,1,risorse multimediuali
20,Q20,1,Italy,1,3,8,11,19,1,2,0,1,1.0-2.0-3.0-4.0-7.0,0,4,2,0,1.0-3.0,0,1,0,5.0-6.0,0,1.0-3.0,0,1.0-3.0,0,1,internet software didatic
21,Q21,1,Italy,1,3,8,11,19,2,1,0,1,1.0-2.0-3.0-4.0-5.0-6.0-7.0,0,0,2,0,1,0,1.0-2.0-3.0,0,0,0,1,0,1,0,2,0
22,Q22,1,Italy,1,3,8,11,19,2,0,0,1,1.0-2.0-4.0-7.0,0,4,2,0,2,0,1.0-2.0,0,3.0-5.0-6.0,0,2.0-3.0-4.0-5.0,0,1.0-3.0-4.0,0,0,0
23,Q23,1,Italy,1,3,8,11,19,2,2,0,1,1.0-2.0-3.0-4.0-5.0-6.0-7.0,0,4,0,0,1.0-2.0,0,1.0-2.0-4.0,0,3.0-5.0-6.0,0,1.0-2.0-5.0,0,1,0,1,a volte
24,Q24,1,Italy,2,2,8,11,19,1,2,1,1,2,0,4,2,0,1.0-2.0,0,1,0,2,0,2,0,1,0,1,risorse digitali offerte dal libro di testo
25,Q25,1,Italy,1,3,8,11,19,1,1,0,1,1.0-2.0-4.0-6.0-7.0,0,0,2,0,1,0,1,0,5.0-6.0,0,1,0,1.0-3.0,0,1,0
26,Q26,2,France,1,3,7,11,18,1,3,3,2,2.0-4.0-7.0-8.0,geological resources,4,1,geothermy,2.0-3.0-5.0,0,4.0-5.0,experimental fail evaluation (ECE in France) steps of investigation,3.0-6.0-7.0,0,2.0-3.0-5.0,samples microscope (strumenti di laboratorio),2.0-3.0-5.0,0,2,but inf about seawakhers
27,Q27,1,Italy,1,3,8,11,19,3,1,1,1,2.0-3.0-4.0-5.0-7.0-8.0,0,2,1,metereology and geosites,2.0-3.0-5.0,0,1.0-2.0-4.0,0,2.0-3.0-5.0-6.0,0,2.0-3.0-5.0,0,2.0-3.0-5.0,0,1,websites and specialistic softwareGISinnovative
28,Q28,1,Italy,1,3,8,11,19,2,1,1,1,2.0-3.0-4.0-5.0-7.0,0,2,2,0,2.0-3.0-5.0,0,1.0-3.0-5.0,laboratory experience,2.0-3.0-6.0,0,2.0-3.0-5.0,0,1,0,1,website software gis
29,Q29,3,Greece,3,3,6,12,18,2,3,5,1,1.0-2.0-3.0-4.0-7.0,0,2,2,0,1.0-2.0,0,4,0,6,0,3.0-5.0,0,1.0-2.0-3.0-4.0,0,2,0
30,Q30,3,Greece,2,1,6,12,18,2,2,5,1,1.0-2.0-3.0-7.0-8.0,0,2,2,0,1.0-2.0,0,4,0,6,0,3.0-5.0,0,1.0-2.0-3.0-4.0,0,1,scientix
31,Q31,1,Austria,1,3,4,14,18,2,2,5,2,0,0,4,2,0,1.0-2.0-3.0-4.0-5.0,0,1.0-2.0-3.0,0,6.0-7.0,moodle,2.0-3.0-5.0,0,1.0-2.0,0,1,whatever i find in the internet
32,Q32,3,Greece,3,3,6,12,18,2,4,5,1,1.0-2.0-3.0-4.0-5.0-7.0,0,4,2,0,2.0-3.0,0,1.0-2.0-3.0,0,2.0-3.0-4.0-5.0-6.0,0,2.0-3.0-4.0,0,1.0-2.0-4.0,0,1,"phet, scientix"
